title,current price,full day fee,fluctuation rate,face value,market cap,number of listed shares,foreigner ratio,trading volume,PER,ROE
코오롱플라스틱,"10,570",210,-1.95%,"1,000","38,000","4,017",0.89,"325,588",11.26,14.98
케이씨텍,"19,250",540,-2.73%,500,"20,862","4,016",10.88,"34,382",7.25,13.66
쎌마테라퓨틱스,"6,410",0,0.00%,500,"62,557","4,010",0.12,0,-43.02,-46.91
아세아시멘트,"10,240",20,+0.20%,500,"38,958","3,989",4.29,"92,366",6.28,6.79
삼성FN리츠,"5,160",20,+0.39%,500,"77,300","3,989",0.47,"523,774",N/A,N/A
웅진씽크빅,"3,440",20,-0.58%,500,"115,506","3,973",4.84,"998,660",132.31,0.85
한미글로벌,"36,250",750,+2.11%,500,"10,958","3,972",1.24,"448,748",16.97,15.11
HDC,"6,630",120,-1.78%,"5,000","59,742","3,961",16.66,"100,575",-77.09,-0.21
휴스틸,"6,980",80,-1.13%,"1,000","56,188","3,922",8.74,"1,446,028",1.34,29.59
신영증권우,"55,600",0,0.00%,"5,000","7,054","3,922",6.12,752,15.63,N/A
